race,medwealthyoung,medwealthold,owneryoung,h2wyoung,r2incyoung,wealthatpurchaseyoung,LTVatpurchaseyoung,first_ownyoung,transfrateyoung,transferbuyersyoung,LTVatpurchaseold,consp2conskyoung,first_ownold,h2wold,house2incold,house2incyoung,logincomeold,logincomeyoung,medconsp2conskyoung,medwealthfold,medwealthfyoung,medwealthp_owneryoung,medwealthp_renteryoung,medwealthpgradyoung,mortg2incold,mortg2incyoung,mortgold,mortgyoung,owner_age3536_inc1old,owner_age3536_inc1young,owner_age3536_inc2old,owner_age3536_inc2young,owner_age3536_inc3old,owner_age3536_inc3young,r2incold,stdwealthold,stdwealthyoung,tp2inckyoung,tp2wealthk_medyoung,tp2wealthkyoung,tp2wealthp_medyoung,tp2wealthpyoung,transferbuyersFamntyoung,transferbuyersFyoung,transferbuyersLamntyoung,transferbuyersLyoung,transferbuyersNamntyoung,transferbuyersNyoung,transferbuyersamntyoung,transfrateowneryoung,transfraterenteryoung,transfsize_medyoung,transfsizeyoung,wealth_age3536_p10old,wealth_age3536_p10young,wealth_age3536_p25old,wealth_age3536_p25young,wealth_age3536_p50old,wealth_age3536_p50young,wealth_age3536_p75old,wealth_age3536_p75young,wealth_age3536_p90old,wealth_age3536_p90young,wealth_nonrcverold,wealth_nonrcveryoung,wealth_rcverold,wealth_rcveryoung,wealthatpurchaseold,wealthfold,wealthfyoung,wealthold,wealthp_owneryoung,wealthp_renteryoung,wealthpgradyoung,wealthyoung,boot
White,34.81870006130173,241.3560360394477,.52933466,2.2276497,.22261056,39.50494,.67790347,31.823746,.24988773,.29707116,.35673952,,57.133102,.93022561,4.7869549,11.666543,4.1092587,4.0924778,,627.21082,354.09998,342.97092,195.79654,1.75167,1.8425125,10.111761,72.440125,150.28473,,.28681862,,.60532695,,.81158769,.23234133,973.5527874222735,307.3490175523992,1.1006057,.04715202,.2863408,.0043795621,.028705578,5.8981233,.30779099,3.3243461,.25890374,6.6981335,.29354316,5.1780806,.20861404,.28694808,2.0348556,4.4386983,,-15.290949,,4.2966337,,51.752087,,169.48294,,480.70197,445.50165,84.094002,578.98505,87.321899,,1081.5313,733.36688,587.5527650074364,664.935,506.0784,1.3138973,138.9079282826621,7
All,24.35530130903746,191.7522461349643,.48362294,2.2610221,.23240648,36.34996,.67187887,32.36866,.22702183,.24603935,.40120682,,57.233952,.99623138,4.4524307,5.7383265,4.026979,3.9602251,,521.39435,264.2941,295.28836,113.485,2.6020033,1.0457326,5.0296469,73.886574,146.78064,,.25706246,,.58170795,,.79910934,.25036985,928.2131035637908,283.2726109742034,1.5972068,.029850747,.20124723,.0034883721,.02508224,2.3747025,.22869149,2.7596183,.23367301,2.4796231,.28522584,2.628118,.20164125,.24594352,1.5261416,3.0541916,,-19.20133,,1.6897277,,33.897213,,141.03241,,380.50867,403.11554,78.606972,789.43713,115.70937,,957.36285,631.05145,523.8473017027951,627.00201,395.99811,1.583346,118.8475835878099,8
Black,3.765314492600355,34.64069991688673,.27963898,2.4757035,.24912348,4.5271282,.56544107,34.946217,.14239711,.1562435,.36041155,,56.318535,1.4391489,2.3889747,1.6869946,3.4053836,3.422977,,76.896729,45.312695,55.74577,14.845207,3.7551358,.69303399,1.042699,56.279911,108.21822,,.14618121,,.52446157,,.73318166,.2767005,201.0815156065802,141.7925110817581,.075756535,.018750001,.51190019,.030959753,.08381252,4.0754738,.21474631,2.4650667,.10240915,2.6464233,.1511047,3.6055632,.14880171,.14067695,1.0174278,2.721858,,-28.864849,,-4.8177018,,9.129796,,41.35503,,229.39133,75.568344,22.727745,,36.00441,,141.92264,129.01469,96.40728738664016,133.49188,75.149193,1.7763581,38.3428757570385,8
White,35.46412152259472,246.7554918479715,.53247833,2.2249143,.22005977,43.811985,.68922597,31.754158,.25574279,.28336123,.4049136,,57.404728,.93142867,4.5307302,6.590807,4.1287017,4.0896492,,595.70062,360.07645,342.50961,189.67828,1.8057398,1.0877401,5.8564296,73.92897,150.40465,,.29387018,,.59361666,,.80984735,.23275302,980.4867550397593,307.540253652912,1.8557053,.029850747,.16612639,.0028985506,.01828034,2.0989075,.24873097,2.7848723,.27535665,2.4680805,.34783134,2.5196285,.21967839,.28769371,1.5261416,3.0653303,,-17.021507,,4.7567329,,45.437099,,158.30104,,432.9881,452.89056,90.014565,800.57416,129.50917,,1048.1143,738.22699,597.040725506458,669.28351,514.88507,1.2998697,138.4640680373738,8
All,23.71030167515852,195.7679851374858,.47794524,2.3216188,.2344476,34.055744,.64087397,32.505379,.23547572,.24527641,.35873103,,57.345081,.99675727,3.6502585,6.6761069,4.0279713,3.9456012,,515.06738,260.41141,286.74252,110.60741,2.5924351,1.0156206,5.3920412,71.561134,142.57166,,.25615278,,.57892615,,.78405625,.2478296,911.8733252168176,275.8712863664304,5.5173044,.040000003,.32860354,.0051282053,.035342515,3.5434265,.25185344,2.9620299,.22540289,4.8345451,.18747249,3.4044373,.20741805,.25555655,1.5261416,3.8056011,,-18.001245,,2.4071417,,32.920666,,128.95009,,362.55334,397.70694,71.76844,619.47131,70.617981,,954.88989,623.6806,522.5044204841818,624.3186,395.4964,1.5785697,114.0693821089643,9
Black,3.116520573583805,37.61144734212278,.25944632,2.6157305,.25216088,18.070908,.55850285,34.789291,.12691157,.14227143,.34192669,,57.012363,1.4855808,2.3063624,4.5770903,3.4525011,3.4160795,,120.75779,42.19157,50.916981,17.771511,2.8650901,.69222814,2.4288461,58.386505,108.88017,,.14497852,,.39482865,,.66301912,.27804586,240.5550095002718,126.6624410977314,.075419053,.09615384,.87200958,.021276595,.075787857,4.7278395,.13250916,2.8553059,.12844513,5.3934612,.099746533,3.9312887,.086310446,.13749258,1.0174278,2.9794016,,-24.722858,,-3.5259287,,8.5187235,,35.748234,,111.65182,106.97465,25.766451,77.547249,43.176785,,176.07857,119.3723,108.0444875784879,137.01901,70.198997,1.9518657,34.69306874239871,9
White,34.95355484984498,249.5384312571067,.53339475,2.2623422,.22170444,38.830902,.6607402,31.947639,.26629508,.28026497,.3649739,,57.032803,.930906,3.5810161,7.2674208,4.1169143,4.0781145,,581.16724,358.79526,330.39905,201.20766,1.6420799,1.0493556,6.019208,71.234291,145.0695,,.29381293,,.62380058,,.80184633,.22940198,965.5080243341723,301.8665145430724,6.34196,.036363639,.25973588,.0038314178,.031179983,3.1605904,.29882452,2.3975296,.25217396,4.7522445,.23645043,3.0709567,.22683537,.30198017,1.5261416,3.771805,,-16.648424,,4.3176241,,48.29311,,157.36072,,453.3652,433.43515,86.358154,708.27191,76.898521,,1033.1967,741.30219,592.3320528511161,674.64264,520.66571,1.2957308,135.6716093800931,9
All,24.18123524279037,187.6547729542458,.47896725,2.2779226,.23309897,35.160004,.63972139,32.446922,.24286717,.27464119,.38679063,,57.113102,1.0023957,3.3526103,7.4293876,4.0106516,3.9510343,,529.00232,256.00085,289.68835,112.04681,2.5854225,.93210441,4.9256506,71.858337,142.8166,,.24755694,,.58879954,,.78616196,.25106776,959.9084343108819,278.3856307017074,.8301425,.033333335,.23522405,.0051282053,.026464062,4.5946307,.23232979,4.7377234,.24304213,2.4424005,.39406371,4.2456603,.23193729,.25076687,1.5261416,3.4964077,,-15.553787,,1.6286559,,34.630135,,142.22319,,379.4006,433.68768,69.730438,622.21503,82.563469,,948.5177,629.09851,528.0290339209672,627.41003,393.70602,1.5936003,117.3003003701586,10
Black,3.142618151065939,37.02214614034784,.26120842,2.4982066,.25230673,23.392336,.55846536,34.774704,.12022042,.10296527,.39521584,,56.240131,1.5065597,2.2596657,8.2198153,3.4297652,3.4187584,,86.058853,41.468739,62.237423,15.924324,3.9083242,.66014493,2.2691941,56.664276,111.38595,,.17591172,,.42369097,,.66752183,.27244902,216.4835230795892,139.6358055084572,.060919117,.066666663,.76432616,.01953125,.067205898,4.5023046,.055719476,3.0586669,.11907031,3.898248,.13979369,3.7317195,.12765437,.11845498,1.0174278,1.863063,,-26.144566,,-3.154783,,6.3288822,,32.508636,,111.40142,109.81923,32.04221,70.34391,32.548088,,160.36017,127.2814,101.4702104141798,139.46844,68.954842,2.0226057,38.74827546434913,10
White,35.38282182589203,247.6839641527502,.53023618,2.2462339,.22177473,41.117702,.66502547,31.919691,.27743727,.32913518,.38486746,,56.896385,.93054086,3.4147136,7.9622641,4.1101179,4.0766821,,609.58423,344.52765,330.59543,185.41031,1.7830477,.93675762,5.5651965,71.020081,145.43192,,.28728801,,.61866957,,.79949707,.23743381,1018.611653909158,303.0629927965895,.94657224,.031023785,.18163289,.0040816329,.023621392,4.649569,.28763154,4.5928712,.28844026,2.3529117,.46716642,4.1767106,.24591614,.30659842,1.5261416,3.6072295,,-15.556658,,5.282711,,53.232159,,173.31828,,450.50357,491.8027,82.185158,649.12292,91.061531,,1043.9824,742.1123,604.573033030211,674.37317,518.39691,1.3008819,137.3388408137212,10
